prediction;gold;sentence
positive;positive;would a person with low self-esteem, be considered a schizophrenic because he/she shuns company ... preferring instead to live in a world of his/her own because that's the only space where there is a sense of security?konkona, a meethi, is outstanding!!
negative;positive;"whether it's arranged marriage (which it used to be like among jew about 150 year ago, or like it is among many modern indians), they have the risk of having a bad match forced upon both men and women; or, just plain loveless marriages....."
positive;positive;what it lack in minghella subtlety (different writer) it partially make up for in boldness a it portrays the four chosen myth with more sympathy and respect and history than is usual.
negative;negative;the character in the storyline are not convincing, neither jane nor mccracken nor andrej.
positive;negative;knowing this, we spend the first hour of the film in fearful expectation, wondering just what form that disaster will take when it doe finally arrive.
positive;positive;perhaps even more than the performing art kids, we were expected to change the world, although not necessarily become famous.
negative;negative;the joke were all so flat and obvious, and the director obviously asked him to go for very broad comedy style like the original bruce almighty's jim carrey.
negative;positive;and the homosexual guy-isn't there a whole controversy today about gay marriage, blah, blah?
negative;negative;the special effect are embarrassing even for a made for tv movie, i mean seriously, the zombie all look like they have bloody lip are hyped up on crack.
negative;negative;most probably self funded this is clearly an attempt to redress important issue but ultimately undermines it point of existence in that the question need to be begged, who would ever put money into distributing this and secondly if a market audience doesn't exist to watch, buy or rent this film, why would anyone bother in the first place?
negative;negative;what lonsdale is doing in this is anyone's guess.
negative;positive;he wa about to walk out when he saw this and decided to take a chance.
negative;negative;maybe we won't make the same mistake again, huh?
negative;negative;we have an untalented dogcatcher and a nagging female novelist, a pair of obnoxious cop and the supposedly evil scientist with his dim-witted accomplice.
negative;negative;"the key stroke logging wa laughable to say the least.regarding the software that wa supposedly being installed, no system administrator would allow such a critical piece of software to be installed on a production system until it ha been tested, retested and tested again on a sandbagged system.but probably the worst possible part of the movie wa the ""virus""."
negative;positive;this wa a excellent back when it came out.
negative;negative;no, no, i mean a lot.
negative;negative;"""(belloc,""the example"").i had absolutely no other reason to watch this dull movie except that rourke wa in."
negative;negative;eventhough the actor (famous to semi-famous) didn't do a very great job.
negative;negative;we both agreed that the movie could have been compressed into roughly an hour giving it more suspense and moving plot.
negative;negative;moment overwhelm anyone's capacity for suspension of disbelief, the twist involves too many ridiculous coincidences, and the title come from a late attempt to philosophize some meaning into the film that go nowhere and is quickly dropped.
negative;negative;i'll rate this dull movie 3 point out of 10: one point apiece for james mason's performance, the early scene with the children, and the authentic victorian typesetting in that auctioneer's handbill.
negative;negative;"i'm saying that it wa almost down there with ""kazaam""."
positive;positive;again, i have seen so many band perform, some small - some the current 'masters.'
positive;positive;that alone make it worth seeing.
negative;negative;the dialogue sucked.
positive;positive;the sheer audacity of kilgore make him an unforgettable character and the dawn attack will always be a hollywood classic.it is an almost psychedelic cruise to a very surreal ending which make it a movie not accessible to everyone.
positive;positive;we are helpless without each other.
negative;positive;do i need to say more?
negative;positive;this wa a hobby for them, but it also propelled them in a direction i believe none of them were ready for.
positive;negative;but, i highly doubt it.
negative;negative;it's not awful but what a waste...
positive;positive;check it out sometime.
negative;positive;is it full moon tonight?
positive;positive;!..the actual celebration ended when the bottle of champagne wa finished..now everyone need to get on with their lives...only one problem though...they have to get new lives...the old life are gone forever...polite and pleasant smile had a fragile facade with a longevity of ice cube in boiling water!!
negative;negative;i don't know.
positive;negative;wouldn`t alarm bell be ringing in your mind about someone wanting to keep you quite if they told you something ?
positive;negative;"it employ every dramatic hook and tear-jerkers you've seen in ""outbreak"", ""armageddon"", the poseidon movie (original and remake) and many others.the direction is awful."
positive;negative;a genuinely touching stage moment, several of the seductions, and a few of the comedic color actually work out.
negative;positive;she flees to her family for which this event wa just what they have been waiting for.
negative;positive;a one familiar with the type of humour shown in the tv series would expect, it doe not translate to success on the big screen.
positive;positive;ever since i first played it in 1998, goldeneye ha been one of my favourite video games.
negative;negative;this movie will have viewer lapsing in and out of a coma within the first 10 minutes.
positive;negative;at first you just think this dude is just a crazy maniac, but a it turn out, he actually represents the real view of the maker of this movie.
negative;positive;is geena hot or what?
positive;positive;furthermore, i won't go into the glimpse one get of legendary parisian entertainers, including a brief vision of piaf, nor of the vision of a paris both urban and rural.
negative;negative;the sensuality that the movie try for is ruined by jennifer beal's complete lack of personality.
positive;positive;david niven and stewart granger are their usual charming self with granger a an especially delightful and ingenious gentleman.
negative;positive;"4/ bug becoming a clown with the proper costume and make-up and the practical clown joke that he make 5/ the trapeze scene while nero chasing after bug 6/ the famous human cannonball scene after which nero the lion start dancing hawaiian hulathe magic moment which keep acrobatty bunny fresh at all time in our memory:1/ when bug come out of his bunny hole, he think he's in the pinocchio tale; and start acting to save pinocchio out of the giant whale's stomach 2/ when the lion roar to scare him, bug reply back to him with roaring3/ bug arguing with the lion for he's making so much noise, then finding a piece of wood to rub it against the iron bar while singing in order to make more noise than him 4/ wearing rubber heel at the circus, bug start to bounce like toy rabbit and cause nero to bounce!"
negative;positive;even justin timberlake wa decent a the mentally disturbed boyfriend.
negative;positive;the movie wa even better then the commercial put on.
positive;negative;i hoped for entertaining trash and found trash of the saddest, dullest kind.
negative;negative;"yep, that's how fast it wa produced... the song that ""inspired"" it wa still big on the chart when the film wa released!despite decade of seeing bad movies, this one still impress me for it extravagant, no-holds-barred, headlong jump into the most tedious, absurd, and indelible cinematic badness."
negative;positive;the blue state mentality.
negative;negative;this final installment to the house party series is by far the worst, not just sequel, but film released by hollywood.
positive;positive;the truth and reconciliation process in south africa is a vital and probably unique human experiment.
negative;positive;kudos to the graphic and character voice overs.
positive;negative;and where the great strength of austen's elizabeth (at least in austen's eyes) wa her ability to retain integrity and observance while remaining within the boundary of society and sustaining impeachable propriety, knightley's elizabeth had no regard whatsoever for convention.
negative;positive;on t.v., the lack of close-ups and distant sound reproduction may prove daunting.
negative;positive;yes, please!
positive;positive;i think my favorite scene is at the very end, with phil in a full body cast.
negative;negative;he take him to the nearest town to collect the bounty.
negative;positive;we are shown the burning remains of fort invincible with a dead man pinned to a stockade wall and a lance sticking out of his belly.
positive;negative;i think brendan frasier copied his encino man from lambert's tarzan.
negative;negative;amelia is a bit whacked out herself not exactly knowing who is and who isn't a threat to her.
negative;negative;the biker gang should really have been left out of the movie - it wa cheesy before, but now it's just plain stupid.
negative;positive;it wa probably one of the last british sitcom to generate tremendous public affection, mainly because it featured likable character in a recognisable setting.
negative;negative;my kid stood astonished because even they know that lot wa not even thought of when noah wa building the ark.
positive;negative;when a bbc murder thriller is this rife with heterosexual dysfunction, you know who the killer must be: the homosexual.who murdered the sexy blonde teenager (who's also a pathological liar) on her way home from school?
positive;negative;watching this film wa a bit like a roller coaster ride from hell.
negative;positive;the 35mm film set this movie apart from other shorts.
positive;negative;"""karmen is a tall, spectacularly built young woman, with the longest braid i've ever seen."
negative;negative;i've enjoyed watching lost from the beginning and endured a few bad actor in poorly written episode because when lost is good, it's really good!
positive;negative;depression-era road tale hearkens back to yesterday with three escaped chain-gang prisoner seeking a hidden fortune, and inadvertently becoming country music star in the process!
negative;negative;why did she agree to do this?
negative;positive;"olive fall for bluto's le than honorable attentions; until he get a little too physical and invariably blurts out, ""hey babe, how 'bout a kiss?"""
negative;negative;the two director certainly must have known each other and either had a sort of juvenile rivalry or an actual dislike for each other's work and a conscious need to upstage them.
positive;positive;she take pride in wanting to attend harvard and boys/boyfriends always come second in her book.
positive;positive;composition and professionalism from the actor and crew can work wonders, adding something that huge setpieces and special effect can never do.
negative;positive;is it too derogatory for the medical field?
negative;negative;"this movie is essentially a ""how-to"" on how to be a well-connected pedophile."
negative;negative;one can only assume they all had property there.
negative;positive;"""this is my stamping ground."
negative;positive;we had no auditions, but instead rigorous entrance exams.
positive;positive;soon came skateboard odyssey in mission viejo.
negative;negative;"although none of the song have the word ""moon"" in their title, like the original movie, the soundtrack is great nontheless."
negative;negative;"i lied if i'd tell that i remember it in detail; what i remember most vividly is the irritation it provoked me and the feeling of a total waste of precious money and time, not only my time and money invested in watching the movie but also the director's.supposedly, ""fuckland"" is a critic of argentinians, presenting u (i'm an argentinian too) a little people who take credit for and even boast about petty, ridiculous victories, and think we're the best thing that god (who is also an argentinian) created."
negative;negative;"kagome for example: she overreacts too much to my taste; she act like yuka from elfen lied."
negative;positive;the subsequent flirtation herzog ha with his subject is the result of him being able to continue shooting well beyond the point when most director would have yelled cut.
positive;negative;character scream, wail, howl and yell, chitter and laugh maniacally.
positive;positive;even though i have already seen the movie a lot of times, when i seat back and lounge at my home scanning worth movie to peer and buy a time for it, catching a glimpse for kramer v kramer will make my experience another worthwhile moment.
positive;positive;it bear striking resemblance to romeo and juliet, but just when you think that chaplin is going to conduct a major thematic experiment by diverging distantly from his traditional style, there is a hilarious twist that is a vintage chaplin a anything i've ever seen.
negative;negative;i think the geneva convention ha a clause about officer quarter and enlisted but that wasn't the point here.
negative;negative;"a final note, be prepared to bust a gut watching the nonsense that is the ""dramatic"" scene where jerry riviera and d.a."
negative;negative;scene after scene, these movie will turn your brain into jelly.
positive;positive;he hadn't seen many of them in 20+ years, so to hear these challenge brought the human element back to the surface.
positive;negative;you know, i didn't expect much from this film, but it didn't have a good story, it wasn't even funny and it wa senseless.
negative;negative;but i seriously would love to know what went through this guy's head after making hard justice.
negative;negative;shot on video it appears, with a bad script and bad direction, one would think it would also have horrible production value.
negative;positive;'hi-de-hi!'
positive;positive;lance bear the onus of allexcept the few who know about the circumstance that brought about the change of order putting holloway in charge of the detail.
positive;positive;"for those who might think paget & hunter can't act and were only hired for their physical attributes, check out their subtle, overlooked, heartbreaking work together a few year later in ""white feather"" (another fox production that ha sadly vanished into the realm of ""lost films"")."
negative;positive;one more note: laurel & hardy buffs, that bake sale lady wa none other than dorothy coburn, who also appeared in tbotc-the 'flapper' getting into her car and getting it in the rear end.
negative;positive;it wa a sleeper movie.
negative;positive;how dare you jaded blowhard rate this movie poorly!
negative;negative;"i hope we don't get to many movie anymore from this director ""pieter jan brugge"" cause he obviously doesn't now the meaning of the word ""suspence and thriller""."
negative;negative;moment later, ben jago, john's friend pop out into the screen scaring the viewer and showing them right away how much of a liar and power hungry person he is.
negative;positive;even today, the end result is highly effective.
negative;negative;"a like many film funded by the government body the film take it self way to seriously, the script and it execution appear to be chore rather then gift and unfortunately for the talented thespians, their brilliant performance (particularly tom long a the fractured protagonist) are stuck within the confines of a pompous wan k fest."""
negative;negative;"goudurix could be great (like in the book) but he is too clearly a ""cool guy"" having a love affair (with an uninteresting made up female character)."
negative;negative;"where ""the grinch"" wa saved by the inspired casting of jim carrey, ""the cat"" wa destroyed by myers."
negative;negative;a in, she doesn't end up with aiden, she end up with gabriel.
positive;positive;i am an artist and a buddhist and this film communicated to my senses.
negative;negative;in this movie, the emotional plot is a bit more complicated.
negative;positive;and if you're knowledge of john water is limited to hairspray or cry-baby, or other family friendly movies, then you must prepare yourself for pink flamingos.explicit sex acts, incest, an old lady who eats nothing but eggs, and unsanitary act with chicken are just a mere portion of some of the depravity in this movie.
negative;negative;:-) the only reason i gave this movie a 2 instead of a 1 wa because i wa laying out a newsletter on my laptop when it came on some cable channel late one night.
negative;negative;the backstories, agent 99 getting plastic surgery and 86 a an analyst who wa formerly morbidly obese, shame the complexity of the original duo and paint a flat boring reevaluation of them.
positive;negative;when many of the crew member are found dead, the 2 survivor are taken into questioning.
positive;positive;"and he play hari om impeccably- from his absolutely perfect ""bollywood e-shtyle"" to his awkward, shy manner with a first kiss."
positive;negative;not even the director would take credit for this movie (and you should check out some of the other film he directed!
negative;negative;i can go through this kind of mind**ck if the film is funny or end up being an elaborate joke, or better yet, something sublime like in e.g.
positive;positive;the show's writers, cast and crew have proven themselves the unambiguous master of the science fiction genre.
positive;positive;it get into the technology some, and reveals how certain effect were achieved.
positive;negative;the thunderclap occurs about an hour into the film, when raj announces to his child that he and their mother have decided to move in with one of their families, leaving the choice of which one it will be up to the kid and their respective spouses.
positive;negative;and trivett is the ultimate clown in black-face.
negative;negative;sure enough we are soon using the old flashback medium, but now the film resort to full technicolor.
positive;negative;definitely to avoid.
positive;positive;certainly there is a sample of the style that engendered trenet and aznavour.
positive;positive;it not only creative but it also fun.
negative;negative;it made no sense.and again, how could the gangster later find the lead character and his wife up in the remote mt.
positive;positive;their scenario part and their actor both do extremely well, providing u with a bracing feel - right after the episode, you'll realize that the show really needed people just like that.
positive;positive;and harry crystal life that belief.
negative;negative;i will never forgive you in this life or the next(which is not looking good from my newfound beliefs) .
negative;positive;and sure it's not perfect, but that doesn't mean it's not worth a shot.
negative;positive;really warped little dark comedy that read like a fairy tale gone awry.
positive;positive;check this one out if you can, essential viewing in my books!
negative;positive;one wonder how shocked initial 1957 moviegoer were at such a bold presentation of white-black relation (if some of the bigoted didn't leave the theater early, they must of left dumbfounded, if not offended).
positive;positive;"breillat ably demonstrates the instinctive, lizard-brain method of a female auteur in extracting from two ""cattle"" (as hitchcock called actors) a love-scene of searing intimacy."
negative;negative;burn ha a strange, stop-and-start rhythm to his dialogue which is neither realistic nor effective (just increasingly annoying, because nothing important ever seems to get said).
negative;negative;his affected british accent is terrible and he portrays mr. bennet too much a a father of the 20th century and not a father of the late 18th century.
negative;negative;"and the strip scene with mosquito doe not have any relevance to the plot at all; perhaps the director like this sort of thing.plot logic: when memphis and mosquito ambush the car at the beginning, why doesn't mark lester's mother do or say anything to get her son out of the car, before the loony drive it off?"
negative;positive;in the middle of this is the legendary bullfight with a mad bull.
negative;positive;a for the fact that the comic do marry shrews, i suppose one can imagine they get what they deserve.
positive;positive;never had i seen such a powerful true story movie.
negative;positive;the melodrama get a bit thick, and there are some gratuitous war reference thrown in that do little but provide the opportunity for a song or two, but kelly take this film to the next level.
negative;negative;the concert sequence just sucked.
negative;positive;it wa not without it problems, but those problem had nothing to do with the time period.
negative;negative;"every once in awhile i'll remember that i've actually seen this bizarre fiasco that's a cross between ""whatever happened to baby jane?"
negative;positive;try to see it.
negative;negative;oh, hell, why not save yourself the expense of a funeral?
positive;positive;so well done.
positive;positive;it witty, devilish, thrilling, comedic, and full of toasty action-packed goodness!
negative;positive;this film seems like it will skirt both sides.
negative;negative;i failed to understand the whole idea of it.
negative;negative;the whole layout of the surrounding future world ?
positive;positive;"a film much alike to david mamet's ""house of game"" and stuff like that."
negative;positive;mr. bean is not necessarily someone with a mental disability, he may just be an eccentric person accustomed to dealing with thing his own way.
negative;positive;so he put them to sleep and abandon them off the side of the road.
positive;positive;but them 'paches is pretty smart.
positive;positive;superb story that reel you into the movie, emotional, yet light-hearted.
negative;negative;two thumb down!
negative;positive;"the particular theme of film this night wa ""neglected 70's crime films"" and boy wa her right."
negative;negative;this film ha possibly, the worst title for a stooge short ever dreamed up.
positive;positive;"it wa shown at this year's cannes festival a part of the un certain regard program which offer ""original and different works"" outside the competition."
negative;negative;too bad they were in the wrong configuration.
positive;negative;it's not a pleasant wait.
positive;positive;rocky horror picture show fans, this film contains notable music, mind you, but it soundtrack is more plasticine than mad max 3.
positive;negative;a lot of actor have a multitude of good movie role in their soul.
negative;positive;it's really, really a shame.
positive;positive;most western use landscape a an awe-inspiring backdrop: there is little sense of actually living in the west.
positive;positive;if you liked the first three then you'll love this, go watch it!
negative;negative;if you 're not familiar with the original series, you won't understand anything during for the first 60minutes of the film.the story is inscrutable and the vapid character do not develop during the film.kusama's attempt to improve the storyline by implementing some rather weak explanatory conversation between the main character is not only a lame attempt to cover up her flaw a a storyteller , it's simply unworthy of the original æon concept.charlize theron might be an attractive woman, but she can't impersonate the æon character.
positive;positive;it is the result of powerful, masterful storytelling and direction.
negative;positive;"this is certainly better than their original 1960's acid-trip film that wa in it's place, is league better than ""honey i shrunk the audience"" (and far more fun), barely squeak by the muppetvision 3-d movie at disney-mgm and can even beat the original 3-d ""movie experience"" captain eo."
negative;positive;the ultimate matrix 10-disc set of this also hold nearly three hour of music, in a simple system, with individual track selection and a play all function, about 38 minute worth of bts material in addition to the title itself, in various featurettes.
negative;negative;you would not believe, that this director earlier ha made masterpiece like urga and burnt by the sun.
positive;negative;"the costume are perfect,good actors, there are 2 music score the orchestrail score is wonderful, and keep with the classic spirit of the old timey lone ranger alive, the second score is a series of song by country music artest like merle haggerd, and the statler brother and those song like ""the man in the mask"" are so bad that they are funny."
positive;negative;man the earth is more likely fall into the sun than for this film to happen.
negative;negative;this is about a pretentious a movie a a shallow director like joel schumacher could make, i suppose.
positive;positive;"would we be dubbed a being ""off our rockers"" if people could glimpse into these area of our minds?"
negative;positive;"then a series of event in his very ""white"" little neighborhood pull him out of his complacent shell into a maelstrom of events."
positive;negative;cone of silence is now some weird blue telekinetic force field, control headquarters are right under a museum that preserve control's past.
negative;positive;what's great about speed racer is that you're never too old to watch it.
negative;positive;sometimes someone doe something out there.
positive;positive;a particularly impressive scene involves the phantom chariot travelling to the ocean floor to retrieve the soul of a drowned man.
positive;positive;this cast is far superior, a well.
negative;negative;"he throw around thing like this in between saying while street racer and the like ""blow their brain out with guns"", and how ""god is in control when your born and when your die""."
positive;positive;go see his film shade of grey a well.
negative;positive;samuel l. jackson is hilarious a the low rent private eye who try to help davis find her past, only to find out he's in way over his head.
negative;negative;then, there wa the cheapest video camera (which they used).
negative;negative;the acting sucked.
negative;positive;this character is really unforgettable, too.lady zhao, a wonderful gong li, is the uncorrupted morality, nor by power or love or hate.
negative;positive;the sum total of this now famous movie is that despite poor endorsement on it debut, it ha since become a classic in it's own right.
negative;negative;the problem is that lenzi let u get a good, long look at the cannibal feast scene and it ha the convincing ring of a 3rd season star trek episode complete with a fake jungle set for the really gory close up shots.
negative;negative;while everyone else wa solemn about the journey, the monkey seemed to be on some kind of drug binge where he kept shouting something that resembled the english word faster.
positive;negative;"there's ""the gay guy,"" (pawel szajda a ""ricky,"") who definitely got robbed a far a screen time is concerned, and ""the one who know what's going on."""
negative;positive;>it wa entertaining and wa just what i needed.
positive;positive;"the film a a whole ha credibility and integrity, yet still ha that commercial edge - an ""indie"" movie for the mass if you like."
negative;negative;"of course, before that it ha the cliché ""you really believe that?"
negative;positive;having never seen it before i must confess that after the first 20 minute or so i wa wondering what all the fuss wa about.
positive;negative;more dancing, and a scene of angelique obviously suffering from heartbreak.the film muddle it way to a finish, and i heaved a sigh of relief that it had ended.
negative;negative;the end of the movie just seems to implode on itself.
positive;positive;the film give a very good and believe appearance to it's characters, especially pacino.
positive;positive;and is certainly not an artistic triumph.
negative;negative;brr... terrible!this movie had great potential.
negative;negative;he find out the hotel is over-insured.
negative;positive;why it isn't available on dvd yet is a mystery and a tragedy.
positive;positive;fonda and douglas are sent on a routine assignment at a nuclear power plant and an accident almost happens and they get it all on film.
positive;negative;for a b-actor, i must admit i really liked this guy, his style, physique, fighting skills...
negative;negative;i asked myself if the plot wasn't about the action but about the main character (played by mickey rourke), but i found that the character wa inconsistent - either he is a professional killer or some guilt haunted brother.
negative;negative;nothing make my day more than a cheesy little film about zombies, monsters, murderers, that sort of thing.
positive;negative;for an amazing serial killer film check out se7en if you have not done so.
positive;positive;a most meaningful film and a must see.please note the date of this review.
negative;negative;it is pure tv movie hell, the cast doesn't seem all that bad, but they act terribly.
negative;negative;4/10
positive;positive;portrayal of lesbian woman is delicately handled and well done.
negative;positive;official who seems to be a cheney clone.
negative;negative;the critic and the public got this one right back then - it wa lambasted and a box-office disaster, and rightfully so.
negative;negative;how it got released to every major cinema no idea.
negative;negative;they spend 100 minute unsuccessfully making a comedy and then they wrap it up with a thriller.
negative;negative;that information would have been nice to know before she started jumping but whatever.*that said i did like a couple of part right in the middle.
negative;positive;this era wa not just the dawn of sound in cartoons, but of a cartoon character which would go down in history a the world's most famous mouse.
positive;positive;the gothic manse set for the school is effectively claustrophobic.
negative;positive;frank horrigan (clint eastwood) is being harassed by mitch leary (john malkovich), a bomber terrorist who literally belief he will not be caught.
negative;negative;to identify this movie a a vampire movie would be technically correct.
negative;positive;they answered to 'the commander', played by the late noel coleman.
negative;positive;"some critic were harsh on arquette's performance in the film when it opened on august 25, 1995, deeming that she wa ""flat"" or ""dull"" in the role."
negative;negative;(1) her mother rush to take responsibility for it and(2) the daughter seems to suffer almost no remorse (and in fact her emotional life then disappears from the film).
positive;positive;superb, disturbing, provocative, taboo shattering.
negative;negative;surveillance only wish it were natural born killers... in fact, it ha wet dream about being even a fraction of what that film was.
negative;negative;any tom and jerry is funnier, heck even funeral are funnier.just in case you have been fortunate enough not ever to have seen any of the stooges' performances: it's three guy behaving, running, even talking like retarded infants, causing all kind of unfunny mayhem, with no plot, no real purpose, and no real conclusion.
negative;negative;not from the gruesome violence but, from the lack of everything else.
negative;positive;ha to be the best of it genre.it is not the sort of film that could have been made today which is a pity because it is the sort of film that is worth watching in these times.i would take mindless nudity over pivotal plot point any day.it is a shame that the dvd doesn't have any extra but a they didn't have dvd when this wa filmed that is understandable.
positive;positive;people and civilization are all part of a broader natural landscape.in 1979 herzog put a new twist on the idea when he remade nosferatu from the vampire's point of view.
positive;negative;also living in pia's mansion is horatio (the sexy but dumb al cliver), a mystique who speaks nothing but nonsense.
positive;positive;"le a thriller than an colorful adventure with suspenseful elements, the man who knew too much should not be really be compared with such hitchcock masterpiece a vertigo, rear window, or psycho; it is instead more akin to such enjoyable romp a to catch a thief and north by northwest."
negative;positive;"interestingly, there's an obvious gay subtext that while stereotypical, it's never denigrating and it's genuinely funny at times.by 1934 director frank r. strayer wa already an experienced craftsman in the poverty row side of the film industry, but his partnership with writer charles belden would give him a couple of his most interesting movies, and ""the ghost walks"" wa one of them."
negative;negative;not so fast bucky.
negative;negative;come on, just be realistic at least.
negative;negative;who am i to say they aren't?
negative;negative;many scene are very unrealistic, and the acting is quite poor.
positive;negative;after ms. kidman and mr. law meet cute with zero screen chemistry in a small north carolina town and steal a kiss before it off to war for jude and his photo souvenir of the girl he left behind, it's a two hour test to the kidney a to whether he will survive a myriad of near-death experience to reunite with his soulmate.
negative;negative;the initial exposition plant the notion in the viewer mind that everybody ha something against him, so when the revelation come that he ha been poisoned, we are not that surprised, unless of course you are familiar with the original.
negative;negative;another that feature him riding around the countryside on his scooter.
positive;positive;how can these fragile creature cope in the unfamiliar countryside and the meaner street of paris?
positive;positive;strange, yes, but it seemed to work out okay, though i wonder how this great german director felt about being given this job.as for the rest of the film, it's exceptional--with vivid color, great location shooting and very good acting.
negative;positive;in fact rising damp should have been made a a film just so rossiter could have been eligible for an oscar, such is the magnificence of his acting talent.
negative;negative;admittedly, i only watched about two hour at the most of it, but that wa enough for me to realize that the series wa nothing like baroness orzcy had portrayed her characters, and probably would have been rolling around in her grave when it wa filming and airing.
positive;positive;i absolutely love this film.
negative;positive;"the opening at cern where the ""god particle"" or largest quantity of antimatter is created with stunning visuals is an immediate clue which foretells the excellence of this movie."
negative;negative;sleep or play solitary are best choices.
negative;negative;please, even if your life depends on it, do not, and i repeat: do not under any circumstances, view this horrid piece of garbage.
negative;positive;if you are expecting croaky ghost lady to pop out of the attic, look elsewhere.
negative;negative;nothing interesting happens.
negative;positive;jiri schmitzer hijack the film at this point, and never quite let it go.
positive;positive;both live action film and hand drawn animation blend together to create a unique and original experience that will shake your soul and blow you away.
negative;negative;this movie isn't scary at all!
negative;negative;neither were the character of marguerite and chauvelin adequately portrayed.
negative;negative;another stinker from the pm entertainment group, and thankfully one of their last.'firetrap' is effectively a very low budgeted remake of 'the towering inferno' i don't mind low budget b movie a long a some effort is put into them - there is no effort whatsoever in 'firetrap' is star dean'superman'cain, who is an absolutely terrible actor, seriously he ha all the acting ability of a porn star, but he turn out to be the best actor here and that's saying something, the rest are just a bunch of no hoper given the boot from various daytime soaps.
negative;negative;"acolyte present an interesting mix of original concept in ""screaming teen"" cliché horror with a more thriller-like pacing."
negative;negative;i don't know who wa in charge of special effects, but i could have done better in my backyard with my vhs camcorder that doesn't have a battery.9.
positive;positive;juhi chawla doe a wonderful job of making the best of her character and sunny deol play the hero and action man.
negative;positive;that wa u up there on the screen.
negative;positive;the thirteen-minute music video, both the longest and most expensive ever at the time of it release, wa directed by john landis, a filmmaker i'm not terribly familiar with, though 'the blue brother (1980)' is a classic, and i hear that 'an american werewolf in london (1981)' is a stupendously entertaining horror/comedy.whether or not 'thriller' actually qualifies a a music video is certainly up for debate, taking into account it extensive length {though jackson bettered this effort with 1997's 'ghosts,' at 38 minutes} and the fact that the title song comprises le than half of the total running time.
negative;positive;on a trivia note is character actor and dwarf angelo rossitto in his first film, his last, mad max beyond thunderdome (1985).
positive;negative;naraku ha just got to be the wimpiest villain that ever existed in the anime world.
negative;negative;it's worth the five buck to see the woman turn into a huge cg snake and devour the whole train then get sucked into a huge vortex though.
positive;positive;besides heifetz, one thing the film doe do is touch on, albeit gingerly on the topic of child abuse and battered spouses.
negative;positive;if you shoot him now, thing will quiet down.
positive;positive;"the south-supporting lady find a badly wounded union soldier (clint eastwood); nursing him back to health he begin to manipulate the sexually frustrated woman for his own ends.geraldine page is excellent in the role of the headmistress with a secret, and her descent into madness is subtly conveyed."
positive;negative;that is, however, if they can make it to graduation without having to tangle with the campus lunatic who's running around, gouging the life out of student with his fencing sword... yeah, it all stem from a the high school track star who drop dead from a blood clot during a race and a year later, her older sister return home from the navy for graduation.
negative;positive;gibson wa already a strong and subtle actor in 1993.
negative;negative;that's a good thing, because this movie wa bad on a long leash.
positive;negative;jane brings out the humanity in him, and he brings out the untamed side of her.
negative;negative;without spoiling the conclusion, it appeared a though lenzi put more emphasis in his shock and awe climax than in the basic requirement for a cohesive ending, where all loose end are resolved.
