positive;negative;"since ""shaun of the dead"" england ha experienced something like a little horror boom."
negative;negative;the rather interesting story wa ruined by an action overkill.
positive;negative;"those who have never really been interested in good dialogues, interpersonal relationships, character depth and acting performance in a war movie, and who only liked the first 20 minute of ""the soldier james ryan"", will certainly find the film good."
negative;positive;disney's going after him.
negative;positive;it's incredible how much joke, charm and action little ireland can bring!
negative;positive;all this is more or le mouth-appropriate portion from the comics, also prepared for non-connoisseurs understandably and a little le tension.
negative;positive;on the contrary.
positive;positive;elementary particle is to be mentioned in a series with such ingenious new german film a herr lehmann or 23. ok, the film should probably run under fsk-16.
negative;negative;the single when you do not have to bet out or income.
positive;positive;so look successful new episode of a series, carefully develop the figures, introduce a good and matching story and new twist and figure for further episode - which will hopefully exist, with alicia vikander naturally.
positive;positive;"and everyone should always remember: ""we are all steaks!!!"""
positive;positive;thank you.
negative;positive;only the figure drax would not have to be so flat.
negative;positive;they are for me the basic requirement in a good comic.
positive;negative;a not to be expected otherwise, the first part is by far the best!
positive;negative;the film is a self-contained product and must not expect any further requirement from the viewer.
positive;positive;the film is very attached to it original and also surprise with some very good shock moments.
positive;positive;and there you would like to see such film again nowadays, even if you could find hitchcockâ€tms dream of a phone booth setting in â€œnot to hang upâ€œ a few year ago.
negative;positive;but it wa only well-pressed how quickly people will be carried with them every blow of such a thing.
positive;negative;part of it's okay.
positive;positive;kitano play his yakuza role perfectly.
negative;positive;the story ha become really exciting thanks to the script.
negative;positive;the actor warns well, the action super (fingers in the sore), and the special effect did not seem put on a in many other films.
positive;positive;or because many family in hirushima have disabled children, and everything just because america play out a world police ..
negative;positive;the film never loses respect for the character shown and refrain from evaluating it protagonists.
positive;positive;"conclusion: ""sweeney todd"" is a film, far away from the mainstream and very unconventional."
positive;positive;but when you see the film you are often really excited.
positive;positive;the music is a always with a star war movie mega good, but frankly i lacked this main music of star wars.
negative;positive;a a result, bigelow doe not stage like an activision developer and doe not write boal like trivialliterat dan brown.
negative;positive;however, reynold's variant doe not lack individuality, instead of wanted love stories, the uncertain situation in the roman province is in the foreground here.
positive;positive;i recommend this film to everyone: it is an important part of the history of the third reich (alongside all the crime committed), which everyone should also know.
positive;positive;"""similarly ingenious a the predecessor."
positive;positive;still, more of it!
negative;positive;he meet the young yuri, who life by a river with her husband off the village, and recognizes his missing friend in the husband.
negative;positive;but then kenai meet the little cuddly bear koda who is looking for his lost mother.
negative;positive;==references==
positive;positive;until question such a â€œwhere do you come from?â€œ and â€œwhat do you want here?â€œ can be brought to the siebenfã1⁄4er and dr. bank can come into the use of a certain gift, a lot of time passes, but at villeneuve - a usual - without boredom.
negative;positive;the idea wa innovative and brilliantly implemented.
positive;positive;the film ha a tpyan episode film concept (which resembles that of magnolia), a rather quiet film tempo and many cliché-laden characters.
negative;negative;the last point, however, is that i could hardly recognize any film music that could contribute to a bearing epic effect in term of visual events.
positive;positive;the film is part of a classic road movie.
negative;negative;there's nothing more to expect.
negative;positive;otherwise, it'd be kind of stupid, wouldn't it?
negative;positive;you just have to get in there, he's got everything a movie needs.
positive;positive;exciting, feeling, funny, witty and super characktere!
negative;positive;it's hard to tell what's brilliant about the movie and why i value it so high.
negative;positive;"but tarantino's latest work not only unites the force from ""reservoir dogs"", ""pulp fiction"" and ""kill bill"", it also show completely new things."
positive;positive;just like the special effects: nothing superior but ok.
negative;positive;roadmovies get something magical when they're done well.
negative;positive;it contains the synchro of the series, which in my opinion is much more sympathetic than the old (even if it wa not bad).
negative;negative;too bad!!!!!!!
positive;positive;the film is rather trivial and nothing seems to be close to horror, but it gradually develops into an extremely perceptive and poignant psycho thriller, whereby at the end of the movie one want to rage and immediately intervene in the plot.
positive;positive;"i personally found that ""das bourne vermächtnis"" is a successful film.although the film ha a few flaws, but which action film doesn't have it?"
negative;positive;klar santi is not maradonna and anyone who kick can do it the same (or almost*gg*) a he but is not about it.
negative;positive;in war, the murderer becomes a hero.
negative;negative;unfortunately, the development of the character is not a successful a in the first part.
negative;positive;the start is the target.
positive;negative;i loved the atmosphere and logic of this science fiction universe.
negative;positive;despite all the reviews, i have to say, the film is very worth seeing.
positive;positive;the rough and partly dreary beauty of the highlands.
negative;negative;sorry but the movie is just bad!
positive;positive;in addition, the film doe not have pop culture reference and life from it semi-wisdom quiet, otherwise unobtrusive and cute humor.
negative;negative;in short, i decided to go into the movie and then decide how i felt about the new style.
negative;negative;the spectator can't get into it properly, the character at once seem quite superficial and besides, there's not much to admire outside of the beautiful environment.
positive;positive;so i found the film quite well done, but is much better implemented by the plot like the red flood.
positive;positive;those who like humor and action strip will get their money's worth.
negative;positive;the character act so comprehensible and are so powerless.
negative;positive;for 9/10?
negative;positive;my potential doubt about the graphic of the hfr 3d were swept away and suffocated in the bud.
negative;positive;in some place one feel the impotence of this father, when he seems to bounce off at authority or entire judicial systems, a on an impenetrable wall.
negative;positive;i mean the harmless movie turn from the entertainment movie into a, while looking closer thinner fable.
positive;positive;- realism, dirtyness and coolness.
positive;positive;jimi is just great!in the first part he wa good, in the second he wa better and in the third best!the wild guy are at all simply coooooooooooooooooool!!!!!!!!!!!!!!!!!!!!!!!!!
positive;negative;what's he trying to tell u and show us?
positive;positive;a single fate though, but representative and symbolic for many others.
negative;negative;the gangster comedy is really nothing special.
positive;negative;so, guys, please enjoy it with caution.
negative;positive;"in the eternal comparison between ""goodfellas"" and ""casino"" i take a stand for the candidate, which i also noticed when looking again at ""casino""."
negative;positive;the description look like a lot.
negative;positive;"tarantino is our man; for rightly after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after after af af af af af af af af af af after af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af af a f af af af af af af af af af af af af af af af af af af af af a"
negative;positive;robert downey jr.
negative;negative;the only thing that can damage is possibly the scene in which dastan jump in time or the good panoramic images.
negative;positive;ten point from me!!
negative;positive;the movie just doesn't get bored.
negative;positive;at last nothing is held back.
negative;positive;the camera work know how to please, but - this is probably due to the low budget - hardly an outstanding picture.
negative;positive;i found the movie very good.
positive;positive;human, romantic, realistic and dreamlike about mimic and gestures.
positive;positive;kylo, on the other hand, is like anakin skywalker, who like to freak out and is still afraid.
negative;negative;for me, the film is simply a loose, unspectacular plot with lot of blood, which is probably the only thing that should attract the viewer.
positive;positive;"a western comedy for friend of the rather harsh humor; 60 spaghetti western meet 90ssplattermovie meet 70s-exploitation."
positive;negative;but also here bay play his cards.
positive;positive;the role of the author is outstandingly portrayed by sir michael caine.
negative;positive;at first a with most thriller everything start harmless but on the high point it becomes really actionreich.
positive;negative;in some setting i almost fell asleep and that, although i'm not usually a movie closeer.
positive;negative;it is technically good, the effect are worth seeing, the actor a class above the script.
negative;positive;==references====external links==
positive;positive;an absolute sci-fi masterpiece.
negative;negative;why is kylo ren a joker?
negative;positive;"for a long time no one ha been so gorgeously mean, and his character and his appearance a well a his motivation resemble the one of prince nuada from ""hellboy 2 - the golden army""."
negative;positive;although at first it wa difficult for me to think into the film, because it play long before my time ^-^ and then also in france.
negative;positive;so the movie wa good.
negative;negative;conclusion: laues lã1⁄4ftchen with unsympathetic main character!
negative;positive;he looked a little cheap, though, had only a marginal appearance.
negative;positive;in my opinion, almost everything in the movie fits.
negative;negative;if then to the end men with dog and in love couple run wild through the bet, with the aim unknown is emotionally already lost all hope.
negative;negative;gosling, which i really like to see, remains pale and show the whole movie about actually almost only one and the same facial expression.
negative;positive;forget jason statham this movie surpasses every movie he has!
positive;positive;fan of denzel washington will get their money's worth.
negative;positive;i actually went with no big expectation of the movie, because i had never heard of the movie before.
negative;negative;157 minute of high tech scrap in gamer format are a single insult to the completion of this trilogy.
negative;positive;watcher or players, give risky task or take risk to u to win money.
negative;positive;so lovingly made, and only this synchronisation, .... that only strike you at the higher age, which meaning nevertheless this grandiose synchronisation bore ... great class, my child i will show this movie at any time also sometime , ha !
negative;positive;the only thing that shocked me wa the end because it wasn't really about the book but that doesn't have to be bad... anyway it's worth watching the movie in the cinema !!
negative;negative;above all, this is simply because the production had far too little time.
positive;positive;his son understands, the daughter doesn't.
positive;positive;had a few leg and christoph waltz seemed occasionally involuntarily funny.
positive;positive;tja it wa not a revelation. it wa a masterpiece what david o russel put down there. shame that he did not win an oscar. the story is really good and the show-pilerric performance is also ingenious criminal film or comedy whatever that is just recommended.
negative;positive;"underworld, resident evil, etc. also have no ""cruel moments""."
positive;positive;tim burton hit again.
negative;negative;the action doe not even reach the level of the first two parts.
positive;positive;and both together make it happy.
positive;positive;the humor seems sometimes emboldened and tense and also no longer clearly funny.
positive;positive;"but it wa also a bit funny that the mother justin constantly addressed with ""scarts"" or ""favorite"", a if he were her son."
negative;positive;i did not read a book by sherlock holmes before and did not continue to deal with this person.
negative;negative;his â€ ¬¶sewichtâ€ is more than overexhaustible, he would actually have been able to be completely removed from the film.
negative;positive;"what i particularly liked about ""phantastic animal being and where to find them"" wa the first half of the film when the viewer wa overwhelmed with surprises."
negative;positive;after reading most of the review here in the forum, i found that most people here are dissatisfied with the fact that the film is not very close to the book.
negative;negative;built in 1950 and 1954.
positive;positive;"all in all, ""the state enemy no. 1"" is a really captivating and gripping high-voltage thriller that remains exciting until the last minute!"
negative;positive;then he go down to his old department.
positive;positive;"inside hollywood with robert deniro or sofia coppola's latest work ""the bling ring"", hollywood apparently try to give insight into the world of stars."
positive;positive;film art and acting excellence.
negative;negative;the movie offer a lot of action and car chases, but that alone is not enough for me.
negative;negative;the film wa really nice to see that the budget wa drastically shortened against the previous one.
positive;positive;even a a police officer one can devote only the best praise to the film, i hope, lisa wagner still often ha the possibility to deliver such a thing.
negative;negative;the character in this movie could also be porn actor without honor code see raping scene.
negative;positive;what is only very important is to let the animal live in their peace a well.
negative;positive;all of this is based on a 16 volume comprehensive book series, so there is a lot of material available to let this movie figure go into a long series.
negative;positive;anna would be well advised to listen to her skeptical uncle, who would encourage the dead to bury their dead.
negative;positive;only i would like to say that there are very drastic reduction that are difficult to digest, which lead to the fact that it is not a normal love drama.
positive;positive;the optic is also the hammer again and the effect even more.
negative;positive;really very cordial.
positive;positive;i love christian bale.....he's just great....and i love christopher nole....he just make great movies.....the story is made like for cinema.....fantastico
negative;positive;if you're allowed to be a patriot, i guess it's in these cases.
negative;positive;8/10
negative;negative;but to convince the ideas.
negative;negative;i can't remember much more, but i also had to force myself to do the 1.5 hours.
negative;positive;however, communication problem are the central theme of babel, which already give rise to the title, which refers to the tower of babel.
negative;negative;"i looked at ""hitch"" in the movie a few week ago and found it rather boring."
negative;positive;but only until then.
positive;positive;first cream.
positive;positive;abrams surpasses himself with the second part and you only wait eagerly for his next project - star war 7
positive;positive;ok, i still find the main character still rotten, but also this time the penguin are the secret star (doesn't least because they are again spoken of by the fantastic 4).
positive;positive;so i have to honestly say that this wa one of the best movie in recent years.
positive;positive;:-) is it a women's movie?
negative;positive;although i had to hold my ear (and also my eye in some scenes) with every second word that the actor gave me, the film nevertheless inspired me.
positive;positive;however, i found it very good, but also somehow very sad in some places.
negative;positive;...when i read the last comment here.
