prediction;gold;sentence
positive;positive;overall, a great experience with my first time in dc.
negative;positive;despite it being only 5 minute walk from 5th ave and about 10 from time square i did feel a bit vulnerable walking back to the hotel at night.
negative;positive;in fact i think it is an apartment complex turned hotel.
negative;positive;the room wa fairly large and clean, the bed ok (felt a bit old but not bad).
negative;positive;the next day she recognized me and asked me how my stay was.
positive;positive;our room wa right on the water and the view of the ever-changing port were unbelievable.
positive;positive;it is an easy 5 minute walk to pike place market, arguably the soul of seattle.
negative;positive;i hate paying $10/night for internet, though, but i had no choice.
negative;positive;in any case, there is a terminal in the bar which you can use foc and even a printer if you need to print off a boarding pass.
negative;negative;the person at the desk discounted the room to $129.00 a night.
negative;positive;pratico il cucinino con macchina caff\u00e9 americano e buste caff\u00e9, microonde, frigo ecc... gentile il personale, pulito bagno con cambio quotidiano di asciugamani morbidi.coccole anche nei saponi, shampo e balsamo, indicati come naturali.
negative;negative;it wa 10:30 at night and we were stranded with nowhere to go.
negative;positive;we went to boston (from nyc) for a weekend girls' trip to celebrate a birthday.
negative;positive;look like the hotel ha been recently renovated.
negative;positive;the double bed wa quite small for 2 people to share.\nthey do a parking service at the hotel which cost $40.
positive;positive;we both thoroughly relaxed and will stay at the conrad again when we return to indy.
negative;positive;e un hotel sencillo, sin pretensiones, pero que re\u00fane condiciones importantes en ny: est\u00e1 muy bien ubicado, la habitaciones son limpias, el ba\u00f1o correcto y la camas c\u00f3modas.
positive;positive;and try the sea bass...very good.
positive;positive;i had a great experience at this hotel.
negative;positive;for a guy working the midnight shift at a hotel near the airport in columbus, you would think he wa a lottery winner.
negative;positive;the energy and electrical system wa a nice add feature, just be sure to put your key in once you get into the room.\ni did experience a shuttle pickup mishap (we will it that) it did take some time to get picked up but the wait want all that long cause when i finally arrived i wa pleased.\nthey did everything they could to make my stay enjoyable.
negative;positive;it took u about 35 or 40 minutes, but we got to do some sight seeing along the way.
negative;negative;j'ai fais le tour de la chambre afin de v\u00e9rifi\u00e9 la pr\u00e9sence de moisissure ou de 'bed bugs' et \u00e0 ma grande joie, je n'ai rien trouv\u00e9!
negative;positive;neat floor to ceiling windows.
negative;positive;\noverall, if you don't want to spend too much while in la but want to stay in a comfortable and convenient hotel, this is it.
negative;positive;hatte ein doppelzimmer, weil die einzelzimmer schon alle ausgebucht waren, wa von der gr\u00f6sse her sicher ein vorteil war.
negative;positive;the two queen mattress were firm and the sofabed wa thin.
positive;positive;"""i've stayed in the river north area of chicago five time within the last six years, and this property is by far the best i have experienced."
negative;positive;\nservice: the valet parking wa quick and friendly.
positive;positive;lediglich fisherman's wharf ist mit einem gem\u00fctlichen und sehr sch\u00f6nen halbst\u00fcndigen fu\u00dfmarsch zu erreichen.\nandere ziele wie union square, embarcadero, financial district, china town, north beach, haight/ashbury, golden gate park,twin peak etc.
negative;negative;the sink also became clogged if you ran the water more than a dribble.\nthe place wa clean but felt dirty.
negative;positive;everything wa perfect.
positive;positive;we paid $200 each for 2 connecting rooms, and i would not be happy if we'd paid near rack rate ($300-400).
negative;positive;you could simply tell there wa a lot of though behind everything in the hotel rooms.\nvalet service for meeting wa 100% reliable, car running and air / heat wa on and ready.
negative;positive;"""i checked into this hotel a few day ago."
positive;positive;"we'll be back!"""
positive;positive;i relaxed on the lounge chair friday night looking at the light in downtown sa, sooo relaxing\nall in all great stay!
negative;positive;"""this is my first time ever writing a review for a hotel so please excuse me if i do not use the correct verbage."
negative;negative;i did call and voice me concern and i talked to several hotel associate no one could help and just argued with me so i gave up.
negative;positive;great panoramic view of thomas circle and a well-stocked minibar.\nno coffeemaker, so we called down to the front desk and they promptly sent up a keurig - finally, a hotel that invested in keurigs - this seems like such a no-brainer to me when it come to in-room coffee service.
negative;positive;"the two item that failed to impress were a tiny, dated tv (maybe a 21\""?)"
negative;negative;i would have to think twice before going back to this hotel again.
positive;positive;all in all a pretty blurry weekend.
positive;positive;there are garage a few block away that are more reasonable.\ni still love the sofitel which is directly across the street, but i've found a new hotel which is every bit a good.
positive;negative;dennoch mussten wir den vollen preis zahlen und wurden auch noch angeschnautzt, al wir un \u00fcber da fenster beschwerten, da nicht zu ging.
positive;positive;lobby and public space were very nice.
positive;negative;here is the truth.
negative;positive;had we wanted to do so, we would never have needed to leave the hotel for dining because the food wa that good.
positive;negative;also the concierge wa not helpful, repeatedly trying to get you to eat at their places, not even recommending taking the shuttle to the nearby mall.
negative;positive;"initially unhappy with room allocated (it wa designed for handicapped people) but room changed with minimum of delay by helpful front desk staff.\nthis is a great location from which to explore all ny ha to offer and is recommended especially when booked on line with hotel"""
positive;positive;"\""we love new york\""..................."""
negative;negative;\nwe squeezed the roll-a-way in and we even joked about it looking like the large bed from charlie and the chocolate factory becuase we were all butted right up against each other.
positive;positive;"the best marriott i've ever stayed in."""
negative;positive;one morning a he admired it the lovely gentleman opened up his car and let him sit in it.
negative;positive;for this purpose, the hotel wa excellent.
positive;positive;wonderful and friendly staff.
positive;positive;wer aber nicht so viel geld f\u00fcr seine unterkunft in new york ausgeben weil, weil man dort ja sowieso nicht viel zeit verbringt, der ist hier gut aufgehoben und f\u00fcr den preis, den man hier f\u00fcr ein zimmer bezahlt, bekommt man so schnell nichts vergleichbares.\nwir waren zu dritt f\u00fcr eine woche in new york und bekamen ein vier-bett-zimmer.
negative;positive;the room wa shockingly small!
negative;positive;purtroppo la connessione internet \u00e8 a pagamento.
negative;positive;great showers, but take a 'sucking hook' if you want to hang your towel.
negative;negative;this property's management a a whole (this includes the general manager) wa not proactive at all when i wa in need of assistance or compensation.
negative;positive;\n3.
negative;negative;the only thing that happened wa that we were locked out of our room because front desk blocked our key card a the staff member who registered u could not count the day of our stay correctly.
positive;positive;"\nthere are a lot of nice riverwalk hotels, but if you are a hilton program member you can't go wrong here in the brand new rooms."""
negative;negative;i had to flush the toilet by removing the tank cover and reaching my hand inside the tank.
negative;negative;i remembered a review \nsaying they had stayed at a renovated room in\nthe sterling hotel, so we decided to go check the\nsterling one more time.
negative;negative;when i wa awakened by their loud conversation taking place in the hallway (again) at 3:30 a.m., i placed a call to security.
positive;positive;ich hatte den eindruck da hotel ist schon \u00e4lter und wurde renoviert, zumindest der part wo wir waren.
negative;positive;our room wa on the 22nd floor, and on july 2nd, we watched firework from our window...it wa great.
positive;positive;al einziger wermutstropfen m\u00fcssen die hohen einlagerungsgeb\u00fchren f\u00fcr da am abreisetag noch zu deponierende gep\u00e4ck gelten, sofern der abflug zur\u00fcck nach deutschland erst am abend vorgesehen ist.
negative;positive;wird nicht gegeizt.
negative;positive;there wa plenty of parking, though.
positive;positive;"""i had been booked at the washington court hotel for a conference."
positive;negative;\nthe lobby is very nice, the linen are luxurious, and the location is good.
positive;positive;"the staff wa extremely helpful and quick to respond to our requests.\nthe third floor is a nicce quite spot to relax and get away from the 'hustle & bustle' of the city."""
negative;positive;"""hotel muito bem localizado, muito pr\u00f3ximo do inneharbor, podendo ir a p\u00e9 para toas o pinto principais da cidade, inclusive o aqu\u00e1rio."
negative;positive;walked to time square, theaters, central park, 5th ave shopping, rockefeller plaza (they still had the tree there).
negative;negative;i think the crowne took advantage of captive hotel guests.
positive;positive;"""we stayed at the magnolia houston for a wedding and the service wa excellent."
negative;positive;check out all the historic photos.
negative;positive;"""my partner had never experienced the great shopping that the dallas area had to offer, so we decided to take a weekend shopping trip to the big d. i wanted to choose a hotel that wa close to a major shopping area so we chose the westin galleria."
negative;positive;i had heard that sable wa amazing, but hadn't tried it last time.
positive;positive;"bus and taxi are easy way to get around if walking is a problem."""
negative;positive;!\nwe didnt wait any longer than a couple of minute for the lift despite their being a large queue most of the time., the express checkout wa a dream and i never experienced problem with the wi-fi.\nwe had a problem with the heating and the engineer came within minute and wa very helpful.
negative;negative;we were too busy for swimming anyhow.
negative;negative;the room are old, not particularly clean, dark, bleak and just plain worn out.
negative;positive;"i did go \""budget\"" on the room but the room wa great."
negative;positive;every time, i have visited, i have been fortunate enough to receive his excellent customer service attitude.
negative;positive;we had a lot of water pressure.
positive;positive;"we will definitely be back to stay at the waldorf."""
positive;positive;\nmost hotel in midtown time square area will offer standard king and double queen beds.
negative;positive;the room i stayed in wa one the second floor and a little noisy.
positive;positive;"love, love, love this place and will be back when we are in dc again."""
negative;positive;these review did not do him justice.\n he helped u select a restaurant among a list of about 40 on the hotel list.
negative;positive;\nthe staff wa friendly and accommodating.
positive;negative;the wallpaper and bed linen were stained and ripped.
positive;positive;"""we stayed at this hotel for a family trip to the ft worth zoo."
positive;positive;and we could hear that door open & close.
negative;negative;minimal to no amenities- no coffee/tea, toiletries, fridge, microwave, of course no breakfast.
positive;positive;it is located in a great location for nightlife activity and i didn't notice a lot of disturbance from the bar crowd.
positive;positive;we stayed in room 716 which had an excellent view of a corner street below.
positive;positive;"""we had read some negative review on this hotel, and were a little bit interested to see what our experience was."
positive;positive;the free manager's reception included homemade salsa, cheese trays, fruit, veggies, pasta salad, snack and bowl full of candy which our kid loved!
negative;positive;the pool is large with lot of chairs, and the hot tub is large (30 people) and hot.
positive;positive;the coffee (green mountain) is free and good quality and is ready in about 3 minutes.
negative;negative;geldtausch etc.
negative;positive;"""somos uma fam\u00edlia de 5 pessoas e ficamos no apartamento com 2 quarto (cama king e o outro com 2 singles), um do filhos dormiu no sofa-cama na sala, e todos ficaram satisfeitos."
negative;negative;having called the hotel and asked them about service because i am traveling with my handicapped wife, i wa assured that they had valet parking and a ramp.\narriving at the hotel at 4:45pm we were told the room wa not ready and it would be an hour wait.
negative;negative;the bathroom are tiny with very little counterspace and the tv are kind of outdated.
positive;positive;we also were pleased that we now had a balcony which overlooked the bay and the palm tree a opposed to boats.
positive;positive;we booked a couple of week ahead and got an $87 rate for a king bedroom with a nice city view.
positive;negative;"non mi sento di consigliarlo a famiglie."""
positive;negative;we went out for dinner, and upon our return at 10:30 pm found it still had not been cleaned.\nwe could not wait to leave on sunday.
negative;negative;the hotel from the outside look great and the lobby is quite posh but the room we had wa probably the worst room i have ever stayed in ever!\nthe room had two single bed and wa tiny, the carpet wa filthy, the wall were chipped and dirty, the hardware on the door wa broken, the bathroom wa a nightmare, ceiling wa peeling and mold wa clearly visible.
negative;positive;the front desk staff treated u like vip's a we were given a large clean room with king size bed, and it's own full kitchen on the 37th floor overlooking manhattan.
positive;positive;the continental breakfast wa nice a well.
positive;positive;also, the hotel is in a great location for restaurants, theatre, night clubs, etc.
negative;positive;"would definately recommend and would stay again in the future."""
positive;positive;the hotel is smack dab in the middle of fisherman's wharf area.
negative;negative;\u00a0then a my husband inspected the room he notice little hair in the bed and the comforter torn on the inside.
positive;positive;being right on the park give you a chance to enjoy one on nyc's treasures.
positive;positive;the hotel itself is well maintained, offering comfortable and spacious accommodations.
negative;positive;very clean room.
positive;positive;from the front desk to maintenance and housekeeping we were treated like royalty and friends.
negative;negative;"i discovered that the wall paper wa peeling; the room and bed were smaller than agreed upon; the comforter wa torn; there were cobweb on the windows; and to top it off, there wa a substance on the wall which appeared to have property consistent with dried blood to the right of the headboard.\nbased upon my experience with room #1511 and now, #1510, i contacted priceline's customer service line and spoke to a service rep."
positive;positive;great location.
positive;positive;decor of the property is very tasteful and i will definitely be back.
positive;negative;telephone at bedside did not work.
positive;positive;"""dont let the neighborhood deter you; everything about the hotel is first class."
positive;positive;we were however disappointed with the breakfast facilities.
negative;negative;we stayed for five nights, the second day i asked if the tv reception wa bad in every room and i wa told yes with no further explanation.
negative;positive;the front desk people were also very friendly and helpful.
positive;positive;one of our friend reported his room a being very cold, but ours at least wa quite comfortable.
positive;positive;"when we go back to san antonio you can bet we will stay at the crowne plaza."""
positive;positive;then, he emailed u to make sure that we were happy and even asked u how the concert wa that we were going to?
negative;positive;the suite wa confortable and the resteraunt and bar were great.
negative;positive;"would highly recommend!"""
positive;positive;to top this, the room are fabulous, big with great decor and safe with great tv facility free and pay channel a well a a large swimming pool and fitness facilities.
negative;negative;she said since i am signing in without reservation the price went up.
negative;negative;again, i wa prepared for this.
negative;positive;\ni only ate breakfast at the hotel and the buffet wa expensive, but it is convenient and quick so i didn't mind too much.
negative;positive;anyway, the shuttle from the airport is free and very convenient at lax.
negative;positive;only 2-3 blks to market to catch street car and other public transp.\nwe had not expected the adjoining restaurant to be so good.
negative;negative;the street traffic noise wa rough.
positive;positive;"i'll certainly stay here again."""
positive;positive;the location is great, walking distance to millenium park, magnificint mile, the billy goat tavern and other great local treats.
positive;negative;\nwe arrived on the first leg of our honeymoon and the staff at the desk were friendly and allocated u our room.
negative;positive;we paid $200 a night for sat - mon night of xmas week, which i considered quite reasonable.
negative;positive;the room are spacious but dated.
negative;positive;we were only in town for one night for a rhcp concert at the pepsi center.
negative;negative;this hotel, or perhaps more accurately, motel wa nowhere near the standard of luxury.
positive;positive;frankly, typical nyc with lot of construction and repair going on around the city.\nthe muse is a great spot a it is close to broadway shows, restaurant row, central park etc.
negative;positive;i definately will be back a soon a possible.
negative;positive;"""the room wa clean and comfortable."
positive;positive;lobby itself is beautiful and modern.
positive;positive;aber wenn man sich ein bisschen arrangiert, geht da schon f\u00fcr die urlaubstage.\nklimaanlage ist vorhanden, weil man die fenster wegen der lautst\u00e4rke von der stra\u00dfe nicht \u00f6ffnen sollte.
negative;positive;mit dem preis waren wir sehr zufrieden.
negative;positive;the room wa clean and attractive, the bed comfortable with nice linen and a typical flat screen tv a you expect to find in any decent hotel these days.
positive;positive;great view of alcatraz when going up the hill on the cable car.\nwould definitely stay at this hotel again a i loved the fisherman wharf location.\nwould definitely recommend a tour to sausalito -- this is an amazing little village!!
negative;negative;the room did not come with breakfast and there wasn't even a coffee maker in the room.
positive;positive;location is perfect for both the business and the pleasure i wa engaged with in philly.
positive;positive;"""i found the room to be clean and welcoming."
negative;negative;in addition, they credited our daily passport fee and most of the parking fee, so i wa very grateful which is why i rate their customer service very good.\nso my main complaint is that considering the cost to stay here, this resort should be paying more attention to detail.
negative;negative;i attempted to contact management for two days.
negative;negative;not a very safe area--multiple homeless folk and shooting occurred 1 block away while we were there.
negative;positive;how do you re-use towel when you - for example -must layer your bath towel onto your damp hand towel?
positive;positive;\nthe location is wonderful, especially if you appreciate being right next door to little tokyo, with it japanese markets, restaurants, and the kinokuniya bookstore.
negative;positive;the parking wa shared with the surrounding office building so it wa confusing a where the hotel guest could park.
positive;positive;they did share that the spa king included an upgraded bathroom.
positive;positive;we also walked to union square, chinatown.
negative;positive;"vi \u00e8 inoltre una piscina, putroppo ombreggiata per gran parte del giorno."""
negative;positive;i wa very pleasantly surprised.
positive;positive;even if you're going for a short period of time, you must go to g-spa, and treat yourself to the fitness facial, which wa designed by sonya dakar, and us silica-rich fiji water to hydrate.
negative;negative;\n3.
negative;positive;"""i recently traveled to jacksonville from tallahassee for a business and i happen to stumble upon sun suite driving in off the highway for a bite to eat."
negative;positive;"approximately 250 square feet.\nac wa a little noisy since room is so tight.\nwould recommend a little bigger room if price is not too much extra.\nstaff wa friendly & helpful when needed."""
negative;positive;"he immediately went to the front desk counter, picked up a brochure and said \""here..."
negative;positive;i think that say a lot for a kid to want to stay in no.
negative;positive;"""good service rule over all else, and they wowed me."
positive;positive;the room wa very comfortable and spacious with a splendid view over the city.
positive;positive;we love it here.
negative;positive;the front desk staff wa superb.
positive;positive;the aftermath of event in union square can last 'till 4am or later... and street noise pick up around 6.
positive;positive;we stayed there for it proximity to our new home.
negative;negative;although the room wa small it wa no smaller than any other nyc hotel room, but for obvious reason the window didn't open (i assume that they frown on people or object being ejected from the 34th floor).
positive;positive;top notch all the way!!
negative;positive;neither had been made.
negative;positive;unfortunately, the egg were cold.
negative;positive;i think at a hotel like this, they should know how many people are in the room.
negative;negative;plus, you're willing to overlook small thing to be close to family and not pay out the nose.\nalways before, this wa a family-friendly place.
positive;positive;mela is a small hotel--maybe 10 room per floor with a small lobby.
positive;positive;we ask to change room because the first one assigned wa used by someone who smoke and did not respect the hotel rules.
negative;positive;the only other negative wa the poorly staffed front desk.
negative;positive;the door men were very helpful and friendly in getting a taxi.
positive;positive;breakfast is excellent.
negative;positive;i also don't know about the charge for thing in the room - i either didn't use it or my business paid for it, so i didn't pay attention.
positive;positive;"my room looked right down on time square.\noverall a great hotel, just the bell hop need a bit of help at check out"""
negative;negative;it tasted burnt and soapy at the same time.
positive;positive;"""i've stayed at the oxford a few time and without fail each time i'm had a wonderful experience."
positive;positive;"for further exploring the subway close by is easy to use and a bargain if you buy an unlimited ride $27 pas for 7 days."""
positive;positive;"would definitely recommend this hotel to anyone wanting a good location and a friendly atmosphere."""
negative;positive;bed wa almost too comfy, and huge.
negative;positive;"""stayed at the sanctuary and wa so impressed, we got home and booked it for another stay."
positive;positive;we ate and the daily planet and are all dying to go back for one of those amazing chicken pies.
negative;positive;we couldn't get food or anything.
negative;positive;"other than that, staff were professional and friendly."""
positive;positive;the location is great!
positive;negative;"die bauarbeiten bei der gro\u00dfe baustelle drei grundst\u00fccke weiter, lie\u00dfen da ganze hotel erbeben."""
positive;positive;valet parking wa extortionate last year, and still is.
negative;positive;there wa also no in-room coffee, which is pretty standard at other 5-star properites where i've stayed.
negative;negative;i wa greeted by a wonderful staff, and when i arrived in my room, i found they put me in a room that wa for handicap acess, which i did not request or need.
negative;positive;the only problem is the size where you have the breakfast but you can come down and take your breakfast to your room.
negative;positive;"you're only other option are to pay 2 or 3 time a much at a \""chain\"" hotel (marriott, hilton, etc) or stay in a hostel with shared bathrooms...."
positive;positive;c'est un endroit central pour partir \u00e0 la conqu\u00eate de nyc et finalement rare.
positive;positive;it must also make the job of the cleaning staff extremely difficult over ca.
negative;negative;well this is a le then appealing hotel.
positive;positive;however the spacious suite are worth it, in our opinion.
negative;positive;very firm but i have slept in worse.
positive;positive;we were warmly and enthusiastically greeted by the bellman/concierge(?)
negative;positive;the hotel itself is very nice and clean.\nthe bellman took our (4 large) bag up to our room quickly for u and we headed back out (stopping to ask the concierge the best way to the car drop off location - he wa helpful and gave u a map).\nour room wa a good size and everything wa very clean the whole time we were there.
positive;positive;"""we had a truly relaxing stay."
negative;positive;:) the bed were oh so comfortable, i wish i could have shipped them back home to the uk!
positive;positive;fitness center is fresh and vibrant with more than enough machines/equipment.
negative;positive;"""we have stayed at this hotel three time now."
positive;positive;lobby is beautiful and there's a fun little sitting area with a big fireplace.
negative;positive;outside of a small deli on the first floor of a nearby building, there did not seem to be anywhere to eat within a reasonable walking distance of this hotel.\nso in summary, my initial dislike wa overcome.
positive;positive;walgreens and starbucks right across the street, and a bagel store right around the corner.
positive;positive;we got into the city\nafter midnight and took a nightmarish ride out of the twilight zone to the hotel.
negative;negative;parking wa $25 a day!!!!!
positive;positive;there are plenty of place to eat nearby (notably pershing square opposite grand central for the best breakfast ever!)
positive;negative;photo trompeuses.
negative;positive;"newly remodeled at a cost of $12 million."""
negative;negative;i didnt authorise payment and told them to call when i got back to the uk yet they left me a message whilst i wa still in ny and then charged my card!
negative;positive;"lot to do in the neighbourhood.\nwould definitely stay here again for the same price."""
positive;positive;"""conveniently located, friendly hotel staff, fun, swanky, clean rooms."
negative;negative;45 minute later a housekeeper brought some ice.
negative;positive;"""this wa a really nice hotel."
positive;positive;if you don't like walking taxi are available at a very good rate.
negative;positive;the manager wa very helpful with direction to get around.
negative;positive;"there is no doubt we will stay again."""
negative;positive;you do need a car because it's not walking distance to attractions.
positive;positive;the staff is fantastic!
negative;positive;"""i have had the opportunity to stay at the royal palm on several occasion - all for meeting."
negative;positive;all the staff are very, very helpful with question or needs.
negative;positive;what buffet doe not have a pancake or waffle???
positive;positive;while researching hotel on the internet, i stumbled upon apple core hotels, and nyma fit the bill perfectly for our needs.
negative;positive;so staying at on the ave, wa a last minute choice, when i got stuck one evening having to stay for a last minute meeting the next morning.
negative;negative;you know it bad, when my husband came out of the bath room and said.. don't take a shower with out your flip flop on.. my gym ha better looking showers!!!!
negative;positive;this hotel is also unique in that it ha free parking, which can cost an additional $25-$35 per night at other hotel in the area.
positive;positive;first off, location is great, about a 15-20 ride from the airport.
negative;positive;instead of getting in line to check out, they provided your bill at your door on your last day.
negative;positive;they were so kind, and even extended out check out (twice) to accommodate our travel due to long metro line after the race.
negative;positive;given that the room wa not huge, i wa impressed with the amount of furniture it had without it feeling at all cramped.
negative;positive;we stayed in the ballet suite, the smallest room on the property, and although it wa small it wa very comfortable.
negative;positive;"\nthis wa a nice stay and i would recommend to anyone who need to stay in the area."""
negative;positive;i wa happy to find that they don't charge you for local phone call (to any number in the us) made from the room.
negative;negative;i could go on and on and heidi cordes could reply kindly ti this e-mail.
negative;positive;i've stayed here a few time -- on purpose-- and here's what you get.
positive;positive;there wa the usual supply of toiletries.
negative;positive;the bar wa in the process of closing and they even went out of their way to provide two complimentary drink for my guest and me.
positive;positive;our room overlooked the front of the hotel -powell street - and i wa amazed at how well our window blocked out the sound of the people, of the cable cars, etc.
positive;positive;across the road is the original pancake parlor.
negative;positive;\nthere is a bar and an italian restaurant on the ground floor with a small sitting outside area, we didn't try these a we already had plans.\nthe hotel is very convenient for shopping, restaurants/bars and for the metro.
negative;positive;the only con wa the room wa very dated, old carpet and furniture.
negative;positive;"il personale gentile e disponibile."""
negative;positive;i told my bf he might want to call to confirm prior to his arrival which he did.
positive;positive;excellent food and very popular with new yorkers walking in off the street.\nwe also had an excellent view of macy's thanksgiving day parade from our room.\nno problem with noise a we were located on the 11th floor.
negative;negative;"i am quite fussy, but i am surprised at high review for this place."""
positive;positive;i had a view of union square from my window, and thus wa able to enjoy all the offering in the area.
positive;positive;"""this hotel would have to be the best location to everything."
negative;positive;the hotel is located next to the westlake center with rail transportation to both seattle center at the airport.
negative;positive;nei pressi cmq dell'hotel ci sono tante fermata di metropolitana.\nl'albergo \u00e8 pulito, silenzioso e la biancheria viene cambiata giornalmente.
positive;positive;the andaz provides a small quantity of complimentary snack and beverage in the room.
negative;positive;staff were friendly & helpful.
negative;positive;the staff were friendly and helpful.
negative;negative;"when i called, the desk clerk mumbled into the phone and i had to ask if i had the right number.. then in a snotty tone, he imformed me that \""you know, accounting is only here during the day.\"" i would only stay here again if they changed management."""
positive;positive;the restaurant had great food, attentive staff a well.
negative;positive;the king-size bed (from the pillow to the mattress) wa so comfortable and relaxing.
positive;positive;the area around it is okay, a bit grungy but nothing out of the ordinary for an urban academic area.
positive;positive;"have a nice day :-)"""
negative;positive;kid convention seemed to be in town.
negative;negative;"""i booked this hotel through a travel program."
negative;negative;we were told no problem.
positive;positive;first of all katie is the most adorable young lady.
negative;positive;room wa on the small side, which wa no big deal, since the bed wa huge and very comfortable.
positive;positive;the 77th and \nbroadway location is excellent.
negative;positive;5 minuten van time square, binnen een kwartier in central park, fifth avenue en madison square garden.
negative;positive;the only fault wa the carpet could use a replacing.
negative;positive;it wa within 5 minute walk to penn station, macy's, time square, etc.
negative;positive;it wa our firt time going to boston.
negative;positive;petit d\u00e9jeun\u00e9 compris.
positive;positive;the staff is always friendly and helpful.
positive;negative;then i asked if the westin actually thought i chose to eat and drink the entire mini bar once?
negative;negative;there wa no gaurantee that we would have a room with a view unless we paid $20 more a night, so we choose to pay.
negative;negative;on a sunny day, only a twilight glow came in, since my room looked straight into another hotel room, across a dim alley.\nthe electric outlet recess into the wall when one attempt to plug something into them, forcing me to charge my cell phone in the bathroom-- which lack a tub or space to turn around.
negative;positive;evening wine, morning coffee, daytime jellybeans in the lobby were all nice touches.
positive;positive;"*of course* we went out to time square, and this hotel always gave u a homey feeling when we walked back in."""
negative;positive;we ate there so much because the landing wa the pits.
negative;positive;"""very nice sleep inn located about 10 minute from the airport in charlotte."
negative;positive;the buffet wa only $9.99 and the food wa great!
negative;negative;\n two of the four morning i wa there, the maid service barged into my room while i wa in the bathroom, scaring me half to death.
negative;positive;one night on the beds/pillows would've been okay...two wa just too many.
negative;positive;\ncons: there wa noise - both from the bar, and from the circle, but it didn't bother us.
negative;positive;we were able to go out and see the site and then come back in the afternoon for a rest before heading out in the evening once again.
positive;positive;"""overall nice place to stay."
negative;positive;the spa is fabulous too.
negative;positive;nous avon fais beaucoup de recherche pour choisir l'h\u00f4tel et n'avons pa \u00e9t\u00e9 d\u00e9\u00e7u.h\u00f4tel tr\u00e8s design et d\u00e9co tr\u00e8s recherch\u00e9, tr\u00e8s contemporain.le bar (aspen) est un savant m\u00e9lange de rustique inspiration montagne du colorado et design.
